,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
53,,,,,-1.0072071504376794,,,,,,,,,-1.050312160068346,,,,,,,,,,-0.9426141614434295,,,-1.006633987078443,,-0.8841586287413417,,,-0.9195729529506136,,,-0.9294645693721542,,,,,-0.9656148425027534,,,,,-0.7865612470243584,-0.9383933321699341,,,,-0.9235089307667486,-0.9218594026733911,,,,,,,-1.0071855153122558,,,-0.8616669193442381,,,,-0.9268699775667036,,,,,,,-0.8990510039097905,,,,,,,,,,,,,-0.6802387985445453,,,,,,,-0.43768932977360137,-0.4076713709138533,,,,,,0.14379473276923843,0.07485729282829051,,,,,,,,,0.6352032608338495,,,,,,,,,,,,-0.1336823119939233,,,,,,-0.04525527199212303,,-0.036967864398061004,,0.0487903586023843,,,,,,,,,0.19271038663433784,0.2990817883747696,0.29510430712434504,,0.3504563171080407,,,,,,,0.7699272452782191,,,,,,,1.089085777223757,,,1.3231912597730295,,1.5479671712089365,,,,,,,,,,1.5714993910583948,,1.6792328775343994,1.666480788403057,,,,,,1.6690036768046133,,1.7216078691644234,,1.7299824839191018,,,,1.7644242135282726,1.7897853742090226,,,,,1.7257481308219822,,,
84,,,,,,,,,,-0.9908722588303704,,,,,-0.9839499683094134,-1.0855049695871077,,,-1.0150216281693025,,,-0.9437379644921757,,-0.95020386538491,-0.9475628499250425,-0.9487411877340906,-1.0167243556826038,,-0.9500494615108623,-0.884562326523718,,,,,-0.8805912804500818,-0.936811066741043,,,,,,,,,,,,-0.9484781707545913,,-0.9348110470297653,,-0.9840130246986912,,,,,-0.8821623890716161,-0.9707412452262735,,-0.9766294533945573,-0.8938132793494354,-1.0164060805580701,,,,,,,,,,,,,,-0.7615542278903508,,,,,,,,,,,,,,,-0.48740036386900115,,,-0.31908257859132455,,,-0.09198509540939305,,,0.1464155602912457,,0.3619189792584637,,,,,0.6968260052186982,,0.8001555301658648,,0.4304911787526917,0.48925380513646016,,0.11291227082754017,,,,,,,,,,,-0.23589996691194454,,,-0.30175221942711167,-0.36926309389977363,,,-0.16537017071600293,,,,,,,,,,0.23353270660158537,,0.26089428994872166,,0.6060651669171647,,,,,,,,,1.024293271212924,,,,,,,,,,,,,,1.7522798178431596,,,1.6493175399691498,,,,1.5608113954723364,,,,,1.6354795084831522,,,,,,,,1.5472119742619608,,,,,1.5945998970345046,1.6424385864484676,1.652166881194943,,1.629446750083047,
105,,,,,,-1.0018128837848765,,,,,,,,,-0.9761411776462445,,,,,,,,,,,,,,,,,-0.9283738073756237,-0.9958768656917234,-0.9418863098492789,,,,,,,,,,,,,-0.8458444250806676,,,,,,,,,-0.9547144643500729,,,,,,,,-0.8137748334485233,,,,,-0.8053033370461216,-0.9423681079985827,,,,,,-0.6983945084871438,,-0.7821653257248712,,,,,,,-0.7471622824206016,,,-0.4920536397482976,-0.47779092641324,,,,,,,,,,,,,,,,,0.5153260355400721,,,,,,,,,0.06357307840016341,,-0.2339860515399197,-0.18209990321033345,,,,,,,,,,,,,-0.13335804908422222,,-0.03495585795232253,,,,,,,0.3228594322812068,0.26581259236324173,,,0.37704218508588916,,,,0.710349938910287,,0.7933848320861314,0.9014163983452004,0.9791729365402143,,,1.0552094175587214,,,,,,1.5678528090688653,,,1.8399604122112765,,,1.9479479194711455,1.882746257331394,,,1.7915584571414465,,,,,,,,1.6583080802438717,1.5764151773192725,1.5470138577900316,,,,,,,,,,,,,,,,,,
106,,,-0.9116098203990959,,,,-0.9590007069005607,,,,,-0.9490043889020489,,,-0.9799970491269713,,,-0.9729354340677665,,,,,,,-0.9588855132115742,,,-0.9586928330545889,,,,-0.9169786415671107,,,,,,,,,-0.9700380220482558,,,-1.021330682762501,-1.0207820446227054,-0.9420091818209959,-0.9907424877092019,,-0.9395366927548702,,,,,,,,,,,,,,,-0.943041091508609,,,,,,,-0.7984993115569662,-0.8425364536666782,,,,,-0.7584763894796894,,,,,,-0.6492893081694366,-0.6279858935246149,-0.7118734081925999,,,,,-0.4994372760037747,,,,-0.3181069302745204,,,,,,,,0.6063860984978856,,,,,,,,0.9760391784905534,,,,0.4275972328916642,,,,,,,,-0.37031613404006836,-0.30824926173340983,,,,,,,-0.2386242132413485,,-0.2866165550939641,-0.29849170942797365,,,,,0.02144431360414795,0.15483659366116975,,,,,0.3539284545084164,,,0.4004326682948234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4968998366251876,,1.462707253621028,,,,,1.4776003802752586,,,,,,,,,1.6329076776584803,1.5699633114068172,,1.535637942724819,,,
4,,,,,-1.0007285267899442,,,,-0.998261523850791,,,,,,,,,,,,,,,,-0.9229034858476501,,,-1.010847809764301,,,,,,,,,-0.9597998937355593,,,-0.982745552022451,,,,,-0.9739637617666088,,,,,,,,,-0.9347719801095414,,,-0.943556517981993,-1.0034909465666682,,,,,,,,,,-0.9138712895794547,,,,,,,-0.8622772116201006,,-0.7972483324119797,,,,,-0.6600572966216989,,,,,,-0.537114420097452,,,,,,,,,,,,0.14591587177615584,,,,,,,,,,0.5311296365701569,0.385886596226129,,,,,,,0.08016109183962139,,,,,,,,,,,,,,,,0.2355307388022576,0.10655115593576708,0.1967449999816648,,,,,0.2987994972146887,,,0.2901362511299657,,,,,,0.49304489427134846,,,,0.6185674579548515,,,0.8335924460256677,,,,,,1.2263533130496906,,,,,,,,1.3345859602069048,,1.5828714563457456,,,,,,1.6028048276312221,,,,1.7471214939706785,,1.7442140899092191,,1.828328621890312,,,,,,1.87113712289899,,,,1.9658010042714704,,
23,,,,,,,,,,,,,,,-1.1641349637545684,-1.199831469438957,-1.1181354994651194,,,,,,,,-1.0739840062218293,,,,,,,,,,,,-1.078585995450709,,,,,,,,,,,,,,,,-1.1163793571274572,,,,-1.0128565627506037,,,,,,,,,,,-0.9186256678272964,,,,,,,,,,,,,,,,,-0.7131208076686572,,,-0.5195311037088215,,,,,,,,,,,,,,0.5225321655345257,0.7110527202257707,,,,,,,0.8762910001136086,0.7957466763742604,,0.6355794553725209,,,,,,,,,,,,,,,,0.14542322676764668,,,,,,,,,,0.28809018310231865,0.33247409899355845,,0.2886372288523941,,,0.3826410181333099,,,,,0.48682751150119286,,,,0.4741823558335113,,,0.7169072744876842,0.7199969951837261,,,,1.0532290553374068,,,,,,,,,,,,,,,,,1.4590831404874103,1.5007853371510922,,,,,1.6959515299531667,,,,,,,1.8176899432135751,,1.8849692609114952,,1.8332462557182314,,,
57,,,,,,-0.9366449783904381,,,-0.9773782569839815,,,,-0.9706501299994512,,,,,,,,-0.9166656114402312,,,,,,,,,,,,,-0.8405957508152123,,,,-0.8995857690772222,,,-0.8711777671197461,-0.8381691588523357,,,,,-0.9048347594099807,,,,,-0.906275135412376,,,,,,,,,,,,-0.8355619414238741,,,,,,,,,,,,,-0.7030798631333728,,,,,-0.6786309434552271,,,-0.615330803583996,,,,,,-0.5809526164483232,,,,,,,,,-0.13022330170376797,,,,0.07257325300115348,,,,,,,,-0.036711927156366495,-0.08069994644914652,,,,,-0.2626699463090388,,-0.19022974138511864,,,,,,,,,,,,0.004576333171583791,,,,,,,0.20652892583150412,0.14945656815493913,,,,,,,,0.6540566641679757,,,,,,,,,,,,,,,1.5287763638812517,1.683820584064768,,,,,,,,,,,,1.7707932026270095,,,,,,,,,,,1.765114410109788,,,,,,,,,1.6361279310388694,,1.6853145163136816,
6,-1.0880674007450046,,,,,-1.0905717088734068,,,-1.0731942373128716,,,,,,,,,,-1.0889454252227337,,,,,,,-1.1262505978022557,,,,,,-1.1587817673086298,,,,,-1.0330048687124342,,,,-1.0770154577096813,,-1.0817388311448672,,-1.0614300264466934,,,-1.0812623172283458,,,,,,,,-1.0098710119498333,,,-1.1400718256302418,,,,-1.050975940452016,,,-0.9943395278131983,,,,,,,,,,-0.7200259923405499,,,,,,,,,,,,,-0.4086584477447357,,,,-0.07229806221601139,,,,,,,,1.0918329342265223,,,1.545514994820896,,,,,,1.9835078253404548,,1.5205848097966392,,,,0.7607953634157413,,,0.48000488703324473,,0.3498582616418354,,,,,,,,,,,,,0.17832757213860012,,,,,,,,,,,,,,0.2798088966076788,0.21196337173983973,,,,,,,,,,,,0.6479913201823213,,,,,,,,,,,,,,0.95483018477437,,,,,,,,,,,,,1.4997471413202226,1.5956182064857636,,,,,1.7079177189318075,1.8345332087978192,,1.845365258061523,,2.0551459028133747
5,,-1.1793792615663963,,,,,,-1.1310225564518637,,,,,,,,-1.0517702474838893,,,,,,-1.0550410503141643,-1.0558146869261336,,,,,,,,,-1.167210995654958,,,-1.0585743151905576,,,,,,,-1.118213698823389,-1.0610270275079396,,,,,,-0.9252725700424635,,-1.073674834075745,,,,-1.0396890856163872,,,,,,,,,,,-1.051306692976191,,,-0.9256583007072605,,,,,,,-0.7468954160659528,,,,,,,,,,,,,,,-0.3383874194780446,,-0.24835959043665481,,,0.05759885294524879,,,,,0.7395917439625265,,,,,,1.2757830163819905,,,,1.0619394755569813,,,,0.5516137678957012,,0.33944798070861837,,,,0.11845738440283564,,,,,0.06417599639862573,,,,,,0.15144109795071542,,,,,,,,,,0.28692128994576166,0.2652192681577561,0.47705192981802513,,,,,,0.4460593540372997,,,0.49413948691012854,,,,,0.6221921612782445,,,,0.9533081609618307,,,,,,1.1391123301867108,,,,,,,,,1.2918439233451042,,,,,1.4613590147845736,1.5407686223241166,1.5879574982752984,,,,1.7022740816409905,,,,,,,,1.8890706928433645,,1.963769035431662,
60,,,,,,-1.0266895013927402,,-0.9736343048572229,,,,,-0.9718807557768487,,,-1.1051804746445866,,,,,,-1.1057695504659428,,,,-1.0669811822938664,,,,,,,,,,,,,,,-1.1071360239436285,,,,,-1.0608493317218488,-1.0214287495184078,,,-0.9563968201320775,,,,,-1.0146830887500196,,-1.0014013107758033,-1.0178560087076811,-0.9198822700613005,-0.98120731755913,,-0.9962800222366727,,,,,,,,,-0.8402280667314745,,,,,-0.7660614626316835,,,,,,,,-0.5626135154985846,,,-0.5719574092452676,,-0.4832010936751552,,,,,,,,,0.572579123233948,,,,1.3666463701509726,,1.564914196624734,1.697257676299349,1.9464958007788637,,,1.9795882097731445,,,,,,,,,,,,,0.024156703298652285,,,-0.06178848059835383,,,,,,,,,,,,,,,,,,,,,0.21953466432646646,,,,,,,,,,,,,0.6222921326171738,,,1.174972768901743,1.3564118972972408,1.3610717212972405,,1.4821976570494766,1.4615012421826636,,,,1.102587929534518,,,,,1.1027976529669745,,,,,1.2233263453847258,,1.1330709257958334,,,,,1.4273094416658672,,,,,,,,1.8415746915462026,1.8133840390283764,,
